Miestas,Atstumas iki sostinės,Paminėjimo metai,Gautos miesto teisės,Apskritis,Gyventojų skaičius
 Vilnius,0,1323 m.,1387 m.,Vilniaus,557440
 Kaunas,102,1361 m.,1408 m.,Kauno,286763
 Klaipėda,311,1252 m.,1257–1258 m.,Klaipėdos,147898
 Šiauliai,213,1236 m.,1713 m.,Šiaulių,100119
 Panevėžys,136,1503 m.,1791–1792 m.,Panevėžio,87148
 Alytus,101,1377 m.,1581 m.,Alytaus,50421
 Marijampolė,138,1667 m.,1792 m.,Marijampolės,35253
 Mažeikiai,291,XVI a.,1924 m.,Telšių,32711
 Jonava,102,1740 m.,1924 m.,Kauno,26715
 Utena,96,1261 m.,1924–1926 m.,Utenos,25496
 Kėdainiai,130,1372 m.,1590 m.,Kauno,23043
 Tauragė,230,1499 m.,1924 m.,Tauragės,21685
 Telšiai,285,1450 m.,1791 m.,Telšių,21548
 Ukmergė,72,XIII–XIV a.,1792 m.,Vilniaus,20391
 Visaginas,152,1975 m.,1977 m.,Utenos,18185
 Plungė,287,1567 m.,1792 m.,Telšių,16945
 Kretinga,314,1253 m.,1609 m.,Klaipėdos,16840
 Palanga,326,1253 m.,1791–1792 m.,Klaipėdos,15666
 Radviliškis,191,XVI a. pr.,1924–1926 m.,Šiaulių,15183
 Šilutė,286,1511 m.,1941 m.,Klaipėdos,15109
 Gargždai,292,1253 m.,1792 m.,Klaipėdos,13700
 Druskininkai,127,1635 m.,1946 m.,Alytaus,12196
 Rokiškis,155,1499 m.,1924 m.,Panevėžio,11993
 Elektrėnai,48,1960 m.,1962 m.,Vilniaus,11276
 Kuršėnai,239,1561–1563 m.,1946 m.,Šiaulių,10924
 Grigiškės,16,1923 m.,1958 m.,Vilniaus,10764
 Biržai,202,XV a.,1589 m.,Panevėžio,10300
 Garliava,111,1809 m.,1958 m.,Kauno,10067
 Lentvaris,18,1596 m.,1946 m.,Vilniaus,10050
 Jurbarkas,188,1258 m.,1611 m.,Tauragės,9831
 Raseiniai,178,1253 m.,1792 m.,Kauno,9784
 Vilkaviškis,161,XVI a. pr.,1660 m.,Marijampolės,9621
 Anykščiai,107,1442 m.,1792 m.,Utenos,8632
 Prienai,101,1502 m.,1791 m.,Kauno,8516
 Joniškis,227,1523 m.,1616 m.,Šiaulių,8358
 Varėna,84,1413 m.,1946 m.,Alytaus,7987
 Kelmė,225,1295 m.,1947 m.,Šiaulių,7655
 Kaišiadorys,71,1782 m.,1946 m.,Kauno,7486
 Naujoji Akmenė,269,1952 m.,1952 m.,Šiaulių,7266
 Šalčininkai,46,1311 m.,1956 m.,Vilniaus,6753
 Pasvalys,182,XIII a. pab.,1946 m.,Panevėžio,6490
 Zarasai,145,XV a.,1843 m.,Utenos,6140
 Kupiškis,153,1480 m.,1791–1792 m.,Panevėžio,6076
 Kazlų Rūda,136,1737 m.,1950 m.,Marijampolės,5666
 Širvintos,51,XIV–XV a.,1950 m.,Vilniaus,5584
 Molėtai,64,1387 m.,1956 m.,Utenos,5548
 Pabradė,48,XV a. 2-oji pusė,1946 m.,Vilniaus,5435
 Skuodas,337,1253 m.,1572 m.,Klaipėdos,5289
 Šakiai,164,1599 m.,XIX a. 1-oji pusė,Marijampolės,5003
 Ignalina,110,1810 m.,1950 m.,Utenos,4923
 Švenčionėliai,97,1861 m.,1939 m.,Vilniaus,4856
 Šilalė,245,XVI a. pr.,1952 m.,Tauragės,4728
 Kybartai,178,1561 m.,1924 m.,Marijampolės,4575
 Vievis,37,1522 m.,1950 m.,Vilniaus,4508
 Nemenčinė,23,1338 m.,1955 m.,Vilniaus,4502
 Pakruojis,184,1531 m.,1950 m.,Šiaulių,4407
 Trakai,27,XIII–XIV a.,XIV a. pab. – XV a. pr.,Vilniaus,4238
 Švenčionys,84,XIII–XIV a.,1800 m.,Vilniaus,4139
 Kalvarija,155,1640 m.,1791 m.,Marijampolės,3858
 Lazdijai,145,1561 m.,1597 m.,Alytaus,3700
 Neringa,358,1385 m.,1961 m.,Klaipėdos,3464
 Žiežmariai,63,1348 m.,1792 m.,Kauno,3214
 Rietavas,263,1253 m.,1792 m.,Telšių,3207
 Eišiškės,71,1384 m.,1950 m.,Vilniaus,3071
 Ariogala,148,1253 m.,1792 m.,Kauno,2773
 Šeduva,176,XVI a. pr.,1654 m.,Šiaulių,2541
 Birštonas,91,1387 m.,1946 m.,Kauno,2369
 Akmenė,274,1511 m.,1792 m.,Šiaulių,2363
 Venta,268,1966 m.,1978 m.,Šiaulių,2213
 Rūdiškės,41,1774 m.,1958 m.,Vilniaus,2030
 Vilkija,131,1364 m.,1792 m.,Kauno,1898
 Tytuvėnai,203,XV a. pab.,1956 m.,Šiaulių,1889
 Viekšniai,280,1253 m.,1725 m.,Telšių,1670
 Ežerėlis,127,1918 m.,1956 m.,Kauno,1637
 Gelgaudiškis,178,XV a. pab.,1958 m.,Marijampolės,1603
 Pagėgiai,247,1281 m.,1946 m.,Tauragės,1579
 Kudirkos Naumiestis,180,1560 m.,1643 m.,Marijampolės,1480
 Skaudvilė,212,1760 m.,1950 m.,Tauragės,1453
 Ramygala,146,XIII a.,1956 m.,Panevėžio,1415
 Žagarė,259,1253 m.,1924 m.,Šiaulių,1366
 Salantai,311,1556 m.,1950 m.,Klaipėdos,1360
 Linkuva,199,XIV a.,1950 m.,Šiaulių,1277
 Simnas,128,1382 m.,1626 m.,Alytaus,1269
 Priekulė,307,XVI a. 1-oji pusė,1946 m.,Klaipėdos,1246
 Veisiejai,139,1501 m.,1956 m.,Alytaus,1211
 Baltoji Vokė,35,1950 m.,1958 m.,Vilniaus,1052
 Joniškėlis,179,XVII a. vid.,1950 m.,Panevėžio,1044
 Jieznas,80,1492 m.,1956 m.,Kauno,1023
 Varniai,253,1314 m.,1417 m.,Telšių,995
 Daugai,88,XIII–XIV a.,1792 m.,Alytaus,980
 Seda,304,XVI a. pr.,1950 m.,Telšių,953
 Subačius,165,1873 m.,1958 m.,Panevėžio,892
 Virbalis,174,1536 m.,1593 m.,Marijampolės,885
 Vabalninkas,176,1554 m.,1795 m.,Panevėžio,875
 Obeliai,158,1519 m.,1956 m.,Panevėžio,847
 Dūkštas,136,1737 m.,1956 m.,Utenos,765
 Pandėlys,181,1591 m.,1956 m.,Panevėžio,752
 Užventis,249,1527 m.,1956 m.,Šiaulių,649
 Dusetos,134,1519 m.,1950 m.,Utenos,560
 Kavarskas,95,XV a.,1956 m.,Utenos,528
 Smalininkai,200,XV a. pab.,1946 m.,Tauragės,446
 Troškūnai,126,1506 m.,1956 m.,Utenos,372
Panemunė,246,XIX a.,1968 m.,Tauragės,210
